facility_id,facility_name,state,sub_id,sub_name,zone,baseline_gwh,dist_km
1006594,Leprino Foods - Lemoore West,CA,36635,LEMOORE 4,CISO-PGAE,100.80413595844976,6.13
1006836,CALIFORNIA DAIRIES INC TURLOCK,CA,36685,TURLOCK 5,TIDC,67.14584819528103,0.98
1006942,FRONT RANGE ENERGY,CO,39090,FORT COLLINS 9,PSCO,19.20607071867507,5.52
1007014,SWIFT BEEF CO,UT,38647,PROVIDENCE,PACE,86.16192925409378,2.85
1007263,ALTO COLUMBIA LLC,OR,35790,BOARDMAN 2,BPAT,18.18666951524852,1.64
1007264,ALTO MAGIC VALLEY LLC,ID,39501,BURLEY 1,IPCO,20.92631613732127,5.12
1007461,STANISLAUS FOOD PRODUCTS COMPANY,CA,36691,MODESTO 12,BANC,121.34754989482894,3.1
1007539,ECO SERVICES DOMINGUEZ,CA,36996,LOS ANGELES 61,CISO-SCE,55.38163412534804,1.77
1007561,WYOMING SUGAR CO,WY,39351,WORLAND,PACE,5.121551460868871,16.29
1007943,P4 PRODUCTION L L C,ID,39530,SODA SPRINGS,PACE,685.3839247044854,8.47
1008042,WAUNA MILL,OR,35779,CLATSKANIE 3,BPAT,409.5269262716415,0.34
1009528,Procter & Gamble Paper Products,UT,38564,BRIGHAM CITY,PACE,27.31379279394637,7.92
1010003,Los Gatos Tomato Products,CA,36683,HURON,CISO-PGAE,134.5984554960405,8.38
1010345,Olam West Coast Inc,CA,36635,LEMOORE 4,CISO-PGAE,0.8789487072477592,4.54
1010722,Basic American Foods,WA,35356,MOSES LAKE 1,GCPD,45.15545137810244,14.8
1010891,Darigold Inc,WA,35344,GRANDVIEW,BPAT,71.71114390937696,9.17
1011640,Sorrento Lactalis,ID,39449,NAMPA 6,IPCO,82.71797791742817,6.28
1011964,Basic American Foods Rexburg,ID,39527,SAINT ANTHONY,PACE,90.8510451111383,5.63
1012089,"Aemetis Advanced Fuels Keyes, Inc.",CA,36520,CERES 1,TIDC,19.109132927498106,1.97
1012094,TomaTek / Neil Jones Food Companies,CA,36684,MENDOTA 2,CISO-PGAE,70.190600034935,11.68
1012181,North Pacific Paper Company LLC,WA,35496,LONGVIEW 4,BPAT,26.375627922426347,0.66
1012645,"Lamb Weston, Inc",OR,35790,BOARDMAN 2,BPAT,50.035461502979416,0.63
1012864,Agropur,ID,39492,JEROME,IPCO,59.52953396428531,3.41
1013489,Frito Lay Modesto,CA,36656,MODESTO 11,BANC,42.982105502990514,0.72
1013637,CS Beef Packers,ID,39460,KUNA 1,IPCO,70.0404936445683,0.84
1014521,Chobani,ID,39570,KIMBERLY 2,IPCO,58.217268482914,6.74
1014644,Milne Fruit Products,WA,35348,PROSSER,BPAT,13.835060942764114,8.14
1014832,Darling Ingredients Inc,CA,37002,LOS ANGELES 63,LDWP,62.42758243151726,0.83
